x,y,z
-5649.1982,-2326.7496,-9442.5245
-5638.8186,-2400.6046,-9620.769
-5622.6394,-2515.7254,-9775.0583
-5562.9864,-2940.1791,-9730.1641
-5535.4709,-3135.9617,-9739.0225
-5514.9613,-3281.8949,-9748.096
-5498.0429,-3402.276,-9753.5456
-5483.729,-3504.1241,-9758.552
-5470.8887,-3595.4878,-9761.7672
-5459.1147,-3679.2643,-9764.1052
-5447.8708,-3759.2686,-9767.8233
-5436.8496,-3837.689,-9771.2546
-5425.6658,-3917.2658,-9774.1749
-5413.917,-4000.8624,-9777.2031
-5401.1928,-4091.4,-9780.579
-5387.041,-4192.0953,-9783.2075
-5370.2362,-4311.6674,-9788.0383
-5349.8158,-4456.9665,-9792.0815
-5266.9917,-5046.2903,-10091.3009
-5220.9205,-5374.1039,-10059.4505
-5144.1543,-5920.3239,-10050.9118
-4910.2542,-7584.6096,-10125.8262
-4497.3606,-10522.5005,-9910.1965
-4388.5425,-11296.781,-9046.9802
-4374.4428,-11397.106,-8080.4052
-4245.2615,-12316.2789,-6781.0858
-4417.2122,-11092.7858,-6026.6223
-4524.1367,-10331.9785,-5315.6955
-4692.6789,-9132.738,-5039.528
-4830.9988,-8148.5409,-4822.2676
-4926.4005,-7469.7224,-4435.3428
-5138.733,-5958.8982,-5361.0483
-5179.6007,-5668.1096,-4637.1832
-5265.3159,-5058.2146,-4564.1203
-5358.7882,-4393.1242,-5039.9895
-7795.778,-3968.7783,-11713.1312
-7812.8826,-3871.773,-11710.4401
-7831.6993,-3765.0582,-11708.1815
-7852.8704,-3644.991,-11704.5948
-7876.169,-3512.8582,-11690.0735
-7896.5781,-3397.1126,-11636.4969
-7927.535,-3221.5469,-11605.765
-7962.7267,-3021.965,-11552.1278
-7997.7838,-2823.1461,-11456.779
-8042.0887,-2571.8809,-11323.5404
-8083.5098,-2336.97,-11142.3882
-8134.4601,-2048.0164,-10904.8232
-8164.7914,-1875.9993,-10612.9486
-8167.5372,-1860.4269,-10312.9898
-8154.1884,-1936.1319,-10027.0983
-8127.1461,-2089.4962,-9774.3831
-8100.3511,-2241.4582,-9522.5693
-8078.5689,-2364.9912,-9230.1924
-8061.9669,-2459.146,-8860.3692
-8046.7163,-2545.6366,-8362.2796
-8021.8312,-2686.7668,-7771.2647
-7972.5556,-2966.2227,-7239.4414
-7898.9396,-3383.7199,-6886.1016
-7814.9463,-3860.0693,-6489.3379
-7722.1106,-4386.5665,-6753.4842
-7646.8774,-4813.2352,-7168.0779
-7567.5892,-5262.9011,-7290.7688
-7341.9128,-6542.7757,-5822.9367
-7188.5148,-7412.7387,-5739.4037
-7026.4297,-8331.9692,-5800.2699
-6924.8171,-8908.2427,-6375.9236
-6842.9356,-9372.6158,-7044.1641
-6735.8239,-9980.0765,-7624.6101
-6586.8584,-10824.9017,-8171.3042
-6573.2818,-10901.8989,-9076.6649
-6562.8498,-10961.0614,-9943.8291
-6695.2356,-10210.2645,-10814.5291
-6891.3993,-9097.7648,-11454.9766
-7057.0908,-8158.0813,-11872.6369
-7339.9066,-6554.1536,-11863.175
-7463.9731,-5850.5374,-11852.3244
